Term,Category,x,y
"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Chromecast, Netflix",Entertainment/Tech,-72.470215,-4.1228676
"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix",Entertainment/Tech,-67.60995,-9.770232
"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix",Entertainment/Tech,-68.09164,-9.6670475
"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix",Entertainment/Tech,-68.72918,-10.069744
"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, premium cable",Entertainment/Tech,-63.146004,-7.6565533
"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, standard cable, DVD player",Entertainment/Tech,-62.593033,-7.199309
"55 inch HDTV with Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-67.142334,-12.730972
"55 inch HDTV with Amazon Prime Video, Apple TV, Netflix, Disney+",Entertainment/Tech,-68.739944,-10.02957
"55 inch HDTV with Amazon Prime Video, Apple TV, Netflix, premium cable",Entertainment/Tech,-62.56269,-9.643872
"55 inch HDTV with Amazon Prime Video, Chromecast",Entertainment/Tech,-75.72372,-2.0293446
"55 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix",Entertainment/Tech,-72.64285,-3.9918242
"55 inch HDTV with Amazon Prime Video, Chromecast, premium cable",Entertainment/Tech,-75.65736,-1.8549227
"55 inch HDTV with Amazon Prime Video, Disney+",Entertainment/Tech,-70.717575,-8.25814
"55 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix",Entertainment/Tech,-68.73824,-9.093983
"55 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-70.07422,-8.813492
"55 inch HDTV with Amazon Prime Video, Disney+, Netflix, premium cable",Entertainment/Tech,-63.910255,-7.5615325
"55 inch HDTV with Amazon Prime Video, HBO Max, Hulu, Netflix, DVD player",Entertainment/Tech,-66.88118,-9.966988
"55 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-68.15861,-17.956457
"55 inch HDTV with Amazon Prime Video, Netflix, Apple TV",Entertainment/Tech,-67.126976,-12.743817
"55 inch HDTV with Amazon Prime Video, Netflix, premium cable",Entertainment/Tech,-59.633705,-11.668421
"55 inch HDTV with Amazon Prime Video, Netflix, premium cable, standard cable",Entertainment/Tech,-59.63578,-11.853985
"55 inch HDTV with Amazon Prime Video, Netflix, standard cable",Entertainment/Tech,-59.713886,-11.732362
"55 inch HDTV with Amazon Prime Video, standard cable, Netflix, Apple TV",Entertainment/Tech,-62.453373,-9.720454
55 inch HDTV with Apple TV,Entertainment/Tech,-51.313488,3.0638266
"55 inch HDTV with Apple TV, Chromecast, Netflix",Entertainment/Tech,-73.82391,1.888067
"55 inch HDTV with Apple TV, Disney+, Netflix",Entertainment/Tech,-63.798775,-0.99727935
"55 inch HDTV with Apple TV, Disney+, Netflix, premium cable",Entertainment/Tech,-62.00559,-1.7449079
"55 inch HDTV with Apple TV, Disney+, Netflix, standard cable",Entertainment/Tech,-61.761913,-1.847257
"55 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-52.79942,-1.5822397
"55 inch HDTV with Apple TV, Netflix, Amazon Prime Video",Entertainment/Tech,-66.99986,-12.712239
"55 inch HDTV with Apple TV, Netflix, Chromecast",Entertainment/Tech,-73.84132,1.905359
"55 inch HDTV with Apple TV, Netflix, premium cable",Entertainment/Tech,-55.54324,-2.9541128
"55 inch HDTV with Apple TV, Netflix, standard cable",Entertainment/Tech,-55.550743,-3.0725415
"55 inch HDTV with Apple TV, premium cable",Entertainment/Tech,-52.71056,4.3379726
"55 inch HDTV with Apple TV, premium cable, DVD player, Disney+, Netflix",Entertainment/Tech,-62.162037,-1.8965423
"55 inch HDTV with Apple TV, premium cable, Netflix, Disney+",Entertainment/Tech,-62.1864,-1.7620016
"55 inch HDTV with Apple TV, standard cable",Entertainment/Tech,-52.746063,4.4933844
"55 inch HDTV with Apple TV, standard cable, Netflix",Entertainment/Tech,-55.532555,-3.0862913
55 inch HDTV with Chromecast,Entertainment/Tech,-80.196434,11.150396
"55 inch HDTV with Chromecast, Apple TV, premium cable, Netflix, Disney+",Entertainment/Tech,-71.547806,0.37811238
"55 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-79.74646,6.312272
"55 inch HDTV with Chromecast, Netflix, premium cable",Entertainment/Tech,-77.09701,4.8759665
"55 inch HDTV with Chromecast, Netflix, premium cable, standard cable",Entertainment/Tech,-76.66984,4.7274737
55 inch HDTV with DVD player,Entertainment/Tech,-32.0091,3.704997
"55 inch HDTV with DVD player, Netflix",Entertainment/Tech,-36.175663,-16.469458
"55 inch HDTV with DVD player, Netflix, Amazon Prime Video, Apple TV, standard cable",Entertainment/Tech,-62.028023,-7.208422
"55 inch HDTV with DVD player, Netflix, Apple TV, HBO Max",Entertainment/Tech,-56.73593,-4.1628766
"55 inch HDTV with Disney+, DVD player, Amazon Prime Video",Entertainment/Tech,-70.75944,-8.19914
"55 inch HDTV with Disney+, Netflix",Entertainment/Tech,-64.08623,5.2983303
"55 inch HDTV with Disney+, Netflix, Amazon Prime Video",Entertainment/Tech,-70.195946,-8.650177
"55 inch HDTV with Disney+, Netflix, Chromecast",Entertainment/Tech,-70.89495,0.9368414
"55 inch HDTV with Disney+, Netflix, premium cable",Entertainment/Tech,-62.47863,3.6107962
55 inch HDTV with Fire TV,Entertainment/Tech,-37.725403,-1.8186007
"55 inch HDTV with Fire TV, Netflix",Entertainment/Tech,-38.682083,-3.5126708
55 inch HDTV with Netflix,Entertainment/Tech,-37.57156,-18.283672
"55 inch HDTV with Netflix, Amazon Prime Video",Entertainment/Tech,-68.14653,-18.032484
"55 inch HDTV with Netflix, Amazon Prime Video, Disney+",Entertainment/Tech,-69.82386,-8.889365
"55 inch HDTV with Netflix, Amazon Prime Video, premium cable",Entertainment/Tech,-59.532684,-11.57706
"55 inch HDTV with Netflix, Apple TV",Entertainment/Tech,-52.79449,-1.5812582
"55 inch HDTV with Netflix, Apple TV, Disney+",Entertainment/Tech,-63.930077,-0.81904376
"55 inch HDTV with Netflix, Chromecast",Entertainment/Tech,-79.77511,6.2820296
"55 inch HDTV with Netflix, Chromecast, Disney+",Entertainment/Tech,-70.98509,0.85274285
"55 inch HDTV with Netflix, Chromecast, Disney+, Apple TV",Entertainment/Tech,-71.46377,0.5198735
"55 inch HDTV with Netflix, DVD player",Entertainment/Tech,-36.200924,-16.558228
"55 inch HDTV with Netflix, DVD player, premium cable",Entertainment/Tech,-45.665287,-8.920465
"55 inch HDTV with Netflix, Disney+",Entertainment/Tech,-64.0622,5.233649
"55 inch HDTV with Netflix, Disney+, Apple TV",Entertainment/Tech,-63.91131,-0.86205727
"55 inch HDTV with Netflix, Disney+, Apple TV, Amazon Prime Video",Entertainment/Tech,-68.79532,-10.0116
"55 inch HDTV with Netflix, Disney+, Apple TV, Amazon Prime Video, standard cable",Entertainment/Tech,-63.091778,-7.227831
"55 inch HDTV with Netflix, Disney+, premium cable",Entertainment/Tech,-62.48082,3.5758789
"55 inch HDTV with Netflix, HBO Max, Amazon Prime Video",Entertainment/Tech,-67.71283,-18.593523
"55 inch HDTV with Netflix, Hulu",Entertainment/Tech,-37.858627,-17.673872
"55 inch HDTV with Netflix, premium cable",Entertainment/Tech,-44.220947,-12.965553
"55 inch HDTV with Netflix, premium cable, Amazon Prime Video, Apple TV",Entertainment/Tech,-62.71295,-9.436399
"55 inch HDTV with Netflix, premium cable, Chromecast",Entertainment/Tech,-77.0955,4.852424
"55 inch HDTV with Netflix, premium cable, DVD player",Entertainment/Tech,-45.632957,-8.884547
"55 inch HDTV with Netflix, premium cable, standard cable",Entertainment/Tech,-44.657974,-10.733002
"55 inch HDTV with Netflix, premium cable, standard cable, DVD player",Entertainment/Tech,-45.816856,-8.9654875
"55 inch HDTV with Netflix, standard cable",Entertainment/Tech,-43.75714,-11.777156
"55 inch HDTV with Netflix, standard cable, Apple TV",Entertainment/Tech,-55.581055,-3.2353857
"55 inch HDTV with Roku, Netflix, Amazon Prime Video, Apple TV, HBO Max",Entertainment/Tech,-64.67171,-9.704996
55 inch HDTV with premium cable,Entertainment/Tech,-29.292107,14.535664
"55 inch HDTV with premium cable, Disney+, Netflix, Amazon Prime Video",Entertainment/Tech,-63.959606,-7.4833665
"55 inch HDTV with premium cable, Netflix",Entertainment/Tech,-44.281178,-12.913876
"55 inch HDTV with premium cable, Netflix, standard cable",Entertainment/Tech,-44.800556,-10.557438
"55 inch HDTV with premium cable, standard cable",Entertainment/Tech,-28.925362,14.702252
55 inch HDTV with standard cable,Entertainment/Tech,-28.151926,15.1064825
"55 inch HDTV with standard cable, Amazon Prime Video, Netflix, Disney+, premium cable",Entertainment/Tech,-63.59732,-7.1196585
"55 inch HDTV with standard cable, Chromecast",Entertainment/Tech,-76.834595,10.405682
"55 inch HDTV with standard cable, DVD player",Entertainment/Tech,-32.116215,8.974088
"55 inch HDTV with standard cable, Netflix",Entertainment/Tech,-43.85535,-11.747701
"55 inch HDTV with standard cable, Netflix, Apple TV",Entertainment/Tech,-55.679474,-3.2559757
"55 inch HDTV with standard cable, Netflix, premium cable",Entertainment/Tech,-44.830635,-10.496921
"55 inch HDTV with standard cable, premium cable",Entertainment/Tech,-28.84785,14.733689
"55 inch HDTV with standard cable, premium cable, DVD player, Netflix",Entertainment/Tech,-45.98149,-8.996013
55 inch TV,Entertainment/Tech,-26.090235,-4.1762652
"55 inch TV with Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-67.205154,-12.593793
"55 inch TV with Amazon Prime Video, Chromecast, Disney+, Netflix, premium cable, standard cable",Entertainment/Tech,-65.94845,-5.165589
"55 inch TV with Amazon Prime Video, Disney+, Netflix, premium cable",Entertainment/Tech,-64.20502,-7.578072
"55 inch TV with Amazon Prime Video, Netflix",Entertainment/Tech,-68.08514,-17.917097
"55 inch TV with Amazon Prime Video, Netflix, Disney+",Entertainment/Tech,-69.70219,-9.12167
"55 inch TV with Apple TV, Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-68.64146,-10.1029
"55 inch TV with Disney+, HBO Max, Netflix",Entertainment/Tech,-63.80128,4.7587905
55 inch TV with Netflix,Entertainment/Tech,-37.921623,-18.386435
"55 inch TV with Netflix, standard cable",Entertainment/Tech,-43.637684,-11.932261
55 inch TV with standard cable,Entertainment/Tech,-27.448288,15.7089
56 inch HDTV,Entertainment/Tech,-23.983482,-4.469974
"56 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-70.52386,-8.931105
"56 inch HDTV with Amazon Prime Video, standard cable",Entertainment/Tech,-60.35444,-12.681626
56 inch HDTV with Chromecast,Entertainment/Tech,-80.43988,11.013006
"56 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-80.093765,6.590928
56 inch HDTV with Netflix,Entertainment/Tech,-37.118404,-18.608906
"56 inch HDTV with Netflix, premium cable",Entertainment/Tech,-43.39824,-13.342175
56 inch HDTV with standard cable,Entertainment/Tech,-27.885994,15.133896
"56 inch HDTV with standard cable, Netflix",Entertainment/Tech,-42.987514,-12.135836
56 inch TV with Netflix,Entertainment/Tech,-37.644913,-18.949373
"56 inch TV with standard cable, Netflix",Entertainment/Tech,-42.821404,-12.342569
57 inch HDTV,Entertainment/Tech,-23.991592,-4.7291565
"57 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-70.31135,-8.971267
57 inch HDTV with Netflix,Entertainment/Tech,-37.050278,-18.423386
"57 inch HDTV with Netflix, Amazon Prime Video",Entertainment/Tech,-67.79986,-17.93032
"57 inch HDTV with Netflix, standard cable",Entertainment/Tech,-43.021,-11.709446
"57 inch HDTV with standard cable, premium cable",Entertainment/Tech,-28.762333,15.003206
"57 inch TV with Netflix, Disney+, Apple TV, Amazon Prime Video",Entertainment/Tech,-69.40748,-9.86456
58 inch HDTV,Entertainment/Tech,-24.204767,-4.601318
"58 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix",Entertainment/Tech,-68.23197,-10.973197
"58 inch HDTV with Amazon Prime Video, Apple TV, Fire TV, Netflix",Entertainment/Tech,-67.788025,-11.63162
"58 inch HDTV with Amazon Prime Video, Chromecast, Netflix",Entertainment/Tech,-75.787186,-2.5787716
"58 inch HDTV with Apple TV, DVD player",Entertainment/Tech,-51.862915,3.102166
"58 inch HDTV with Apple TV, Disney+, Netflix",Entertainment/Tech,-63.410423,-1.07085
"58 inch HDTV with Apple TV, Disney+, Netflix, premium cable",Entertainment/Tech,-62.31165,-1.3693005
58 inch HDTV with Chromecast,Entertainment/Tech,-80.39908,11.071974
"58 inch HDTV with Chromecast, Apple TV, Amazon Prime Video, Netflix, standard cable",Entertainment/Tech,-76.01528,3.6679118
"58 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-79.97784,6.5221233
"58 inch HDTV with Disney+, Netflix",Entertainment/Tech,-64.1614,5.495415
"58 inch HDTV with Disney+, Netflix, standard cable",Entertainment/Tech,-61.893425,3.6392384
58 inch HDTV with Netflix,Entertainment/Tech,-37.019188,-18.09485
"58 inch HDTV with Netflix, DVD player",Entertainment/Tech,-36.479298,-16.72374
"58 inch HDTV with Netflix, premium cable",Entertainment/Tech,-43.18387,-13.1802635
"58 inch HDTV with Netflix, standard cable",Entertainment/Tech,-42.98565,-11.697961
"58 inch HDTV with Netflix, standard cable, Amazon Prime Video",Entertainment/Tech,-59.027756,-11.305783
"58 inch HDTV with Netflix, standard cable, premium cable",Entertainment/Tech,-43.503925,-10.947566
58 inch HDTV with premium cable,Entertainment/Tech,-29.473297,14.70198
58 inch HDTV with standard cable,Entertainment/Tech,-27.906845,15.144838
"58 inch HDTV with standard cable, Chromecast, Netflix",Entertainment/Tech,-76.25774,4.1413302
"58 inch HDTV with standard cable, Netflix, HBO Max",Entertainment/Tech,-43.367996,-10.524968
"59 inch HDTV with Netflix, premium cable",Entertainment/Tech,-42.87873,-13.4430895
"59 inch TV with Netflix, standard cable",Entertainment/Tech,-42.536583,-12.472792
6 Plate  Smeg gas stove stainless steel gas stove,Kitchen/Dining,60.958633,-4.412816
60 inch HDTV,Entertainment/Tech,-24.848269,-4.9832234
"60 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix",Entertainment/Tech,-71.76781,-4.6369944
"60 inch HDTV with Amazon Prime Video, Apple TV, HBO Max, Hulu, Netflix",Entertainment/Tech,-66.359245,-10.726778
"60 inch HDTV with Amazon Prime Video, Disney+, Fire TV, Hulu, Netflix",Entertainment/Tech,-68.507675,-8.572348
"60 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-69.10735,-8.271881
"60 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-67.53785,-17.324486
"60 inch HDTV with Amazon Prime Video, Netflix, standard cable",Entertainment/Tech,-59.78353,-10.982634
"60 inch HDTV with Apple TV, Amazon Prime Video, Netflix",Entertainment/Tech,-65.917015,-11.767282
"60 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-53.089653,-1.7062291
"60 inch HDTV with Apple TV, Netflix, premium cable, standard cable",Entertainment/Tech,-56.487644,-2.1814148
"60 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-79.87504,6.7777247
"60 inch HDTV with DVD player, Netflix",Entertainment/Tech,-36.86983,-15.648869
"60 inch HDTV with Disney+, Netflix",Entertainment/Tech,-63.665,5.719169
"60 inch HDTV with Disney+, Netflix, premium cable",Entertainment/Tech,-62.26528,4.3218484
"60 inch HDTV with Fire TV, premium cable",Entertainment/Tech,-36.8972,-0.03259033
60 inch HDTV with Netflix,Entertainment/Tech,-37.60649,-15.984501
"60 inch HDTV with Netflix, DVD player",Entertainment/Tech,-36.934486,-15.697964
"60 inch HDTV with Netflix, premium cable",Entertainment/Tech,-41.544792,-13.681566
"60 inch HDTV with Netflix, standard cable",Entertainment/Tech,-41.65909,-13.167899
"60 inch HDTV with Netflix, standard cable, Amazon Prime Video, Disney+",Entertainment/Tech,-64.45951,-6.171748
"60 inch HDTV with Netflix, standard cable, DVD player, Chromecast",Entertainment/Tech,-75.9913,4.2929306
60 inch HDTV with premium cable,Entertainment/Tech,-29.77706,15.082992
"60 inch HDTV with premium cable, Netflix",Entertainment/Tech,-41.525913,-13.715709
60 inch HDTV with standard cable,Entertainment/Tech,-28.036573,15.630935
60 inch TV,Entertainment/Tech,-25.527409,-5.128473
60 inch TV with Netflix,Entertainment/Tech,-37.74108,-15.978733
"60 inch TV with Netflix, premium cable",Entertainment/Tech,-41.395386,-13.813057
"61 inch HDTV with standard cable, Netflix",Entertainment/Tech,-42.229908,-11.817488
"62 inch HDTV with Disney+, Netflix",Entertainment/Tech,-64.39005,5.671244
62 inch HDTV with Netflix,Entertainment/Tech,-36.34574,-18.788517
"62 inch HDTV with Netflix, standard cable, Disney+",Entertainment/Tech,-61.89157,3.79826
"63 inch HDTV with Amazon Prime Video, Netflix, Apple TV",Entertainment/Tech,-65.260605,-13.829627
63 inch HDTV with Netflix,Entertainment/Tech,-35.538857,-19.01192
63 inch HDTV with standard cable,Entertainment/Tech,-28.25473,16.238728
64 inch HDTV,Entertainment/Tech,-22.953474,-3.7938828
"64 inch HDTV with Disney+, Netflix",Entertainment/Tech,-65.91341,6.0835924
64 inch HDTV with Netflix,Entertainment/Tech,-35.867176,-19.839703
"64 inch HDTV with Netflix, Chromecast, premium cable",Entertainment/Tech,-75.03819,7.1059175
"64 inch HDTV with Netflix, standard cable",Entertainment/Tech,-45.005314,-22.755352
"64 inch HDTV with Netflix, standard cable, Chromecast",Entertainment/Tech,-75.04442,7.079978
65 inch HDTV,Entertainment/Tech,-23.883062,-5.3824406
65 inch HDTV with Amazon Prime Video,Entertainment/Tech,-68.00069,-15.525666
"65 inch HDTV with Amazon Prime Video, Apple TV",Entertainment/Tech,-65.778435,-13.709905
"65 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix",Entertainment/Tech,-70.84994,-3.7435305
"65 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix, standard cable",Entertainment/Tech,-69.32651,-3.501765
"65 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Netflix",Entertainment/Tech,-70.8751,-3.629785
"65 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Netflix, premium cable, DVD player",Entertainment/Tech,-69.553154,-3.6617181
"65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix",Entertainment/Tech,-66.60258,-8.219812
"65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix",Entertainment/Tech,-66.89924,-7.946006
"65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, premium cable, DVD player",Entertainment/Tech,-63.21621,-5.542158
"65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, premium cable, standard cable, DVD player",Entertainment/Tech,-63.022594,-5.497804
"65 inch HDTV with Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-65.323,-13.515805
"65 inch HDTV with Amazon Prime Video, Apple TV, Netflix, Disney+",Entertainment/Tech,-66.88518,-7.886013
"65 inch HDTV with Amazon Prime Video, Apple TV, Netflix, standard cable",Entertainment/Tech,-61.330956,-10.954735
"65 inch HDTV with Amazon Prime Video, Chromecast, Netflix, premium cable, DVD player",Entertainment/Tech,-69.4194,-3.6708019
"65 inch HDTV with Amazon Prime Video, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, standard cable",Entertainment/Tech,-64.34395,-5.4368043
"65 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-68.678505,-7.5712457
"65 inch HDTV with Amazon Prime Video, Fire TV, Netflix",Entertainment/Tech,-65.998825,-15.238989
"65 inch HDTV with Amazon Prime Video, Hulu, HBO Max, Apple TV, Netflix",Entertainment/Tech,-66.2146,-10.114106
"65 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-66.63005,-16.907724
"65 inch HDTV with Amazon Prime Video, Netflix, Apple TV",Entertainment/Tech,-65.32373,-13.51823
"65 inch HDTV with Amazon Prime Video, Netflix, premium cable, standard cable",Entertainment/Tech,-60.830128,-11.185871
"65 inch HDTV with Amazon Prime Video, Netflix, standard cable",Entertainment/Tech,-60.828987,-11.23635
"65 inch HDTV with Apple TV, Chromecast, Netflix",Entertainment/Tech,-73.58169,1.8825428
"65 inch HDTV with Apple TV, Disney+, Netflix",Entertainment/Tech,-64.06615,-1.8895756
"65 inch HDTV with Apple TV, Disney+, Netflix, DVD player",Entertainment/Tech,-63.89929,-2.090324
"65 inch HDTV with Apple TV, Disney+, Netflix, standard cable, premium cable",Entertainment/Tech,-61.776836,-2.845031
"65 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-53.6343,-0.88406855
"65 inch HDTV with Apple TV, Netflix, Amazon Prime Video",Entertainment/Tech,-65.199066,-13.221292
"65 inch HDTV with Apple TV, Netflix, DVD player",Entertainment/Tech,-54.571228,-0.7053029
"65 inch HDTV with Apple TV, Netflix, HBO Max",Entertainment/Tech,-54.355385,-0.888529
"65 inch HDTV with Apple TV, Netflix, premium cable",Entertainment/Tech,-55.69698,-1.4869223
"65 inch HDTV with Apple TV, Netflix, premium cable, standard cable",Entertainment/Tech,-56.12144,-1.5897671
"65 inch HDTV with Apple TV, Netflix, standard cable",Entertainment/Tech,-55.905228,-1.339927
"65 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-79.58779,6.5908747
"65 inch HDTV with Chromecast, Netflix, standard cable",Entertainment/Tech,-76.29618,5.917766
65 inch HDTV with DVD player,Entertainment/Tech,-32.140778,3.3834176
"65 inch HDTV with Disney+, Apple TV, Netflix",Entertainment/Tech,-64.14425,-1.8097773
"65 inch HDTV with Disney+, Chromecast, HBO Max, Netflix",Entertainment/Tech,-70.42319,0.9419146
"65 inch HDTV with Disney+, Netflix",Entertainment/Tech,-64.2989,6.0601873
"65 inch HDTV with Disney+, Netflix, premium cable",Entertainment/Tech,-62.161972,3.9414601
"65 inch HDTV with Disney+, Netflix, standard cable",Entertainment/Tech,-61.950764,3.8783495
65 inch HDTV with Netflix,Entertainment/Tech,-35.5796,-18.479496
"65 inch HDTV with Netflix, Amazon Prime Video",Entertainment/Tech,-66.67817,-17.075554
"65 inch HDTV with Netflix, Amazon Prime Video, standard cable, Chromecast, premium cable, Hulu",Entertainment/Tech,-68.26837,-3.8437798
"65 inch HDTV with Netflix, Apple TV",Entertainment/Tech,-53.604687,-0.90366375
"65 inch HDTV with Netflix, DVD player",Entertainment/Tech,-35.259804,-17.280537
"65 inch HDTV with Netflix, Disney+",Entertainment/Tech,-64.281235,6.05821
"65 inch HDTV with Netflix, Disney+, Amazon Prime Video, Apple TV",Entertainment/Tech,-66.71662,-7.751932
"65 inch HDTV with Netflix, premium cable",Entertainment/Tech,-40.970932,-10.960093
"65 inch HDTV with Netflix, premium cable, Amazon Prime Video",Entertainment/Tech,-60.849163,-11.424568
"65 inch HDTV with Netflix, premium cable, standard cable",Entertainment/Tech,-41.17417,-10.497011
"65 inch HDTV with Netflix, standard cable",Entertainment/Tech,-41.268085,-10.495882
"65 inch HDTV with Netflix, standard cable, Disney+, Amazon Prime Video",Entertainment/Tech,-64.287575,-5.988618
"65 inch HDTV with Netflix, standard cable, Disney+, Apple TV, Amazon Prime Video, DVD player",Entertainment/Tech,-63.056713,-5.421193
"65 inch HDTV with Netflix, standard cable, premium cable, Apple TV",Entertainment/Tech,-56.216694,-1.7219018
65 inch HDTV with premium cable,Entertainment/Tech,-29.546572,15.866257
"65 inch HDTV with premium cable, Amazon Prime Video, Apple TV, Disney+, Netflix",Entertainment/Tech,-63.64284,-5.380797
"65 inch HDTV with premium cable, Amazon Prime Video, Netflix, Apple TV, Disney+",Entertainment/Tech,-63.639854,-5.355536
"65 inch HDTV with premium cable, Chromecast",Entertainment/Tech,-76.6274,9.688437
"65 inch HDTV with premium cable, Netflix",Entertainment/Tech,-40.942116,-10.992207
"65 inch HDTV with premium cable, Netflix, Apple TV",Entertainment/Tech,-55.93186,-1.5743115
"65 inch HDTV with premium cable, standard cable",Entertainment/Tech,-29.338604,16.08264
65 inch HDTV with standard cable,Entertainment/Tech,-28.49604,16.386648
"65 inch HDTV with standard cable, Amazon Prime Video, Chromecast, Netflix",Entertainment/Tech,-68.96878,-3.5023196
"65 inch HDTV with standard cable, Amazon Prime Video, Netflix",Entertainment/Tech,-60.84796,-11.19833
65 inch TV,Entertainment/Tech,-25.084166,-5.790955
"65 inch TV with Amazon Prime Video, Netflix",Entertainment/Tech,-66.7207,-17.069593
"65 inch TV with Apple TV, Amazon Prime Video, Netflix",Entertainment/Tech,-65.03228,-12.957468
"65 inch TV with Apple TV, Netflix, premium cable",Entertainment/Tech,-55.623154,-1.4376364
65 inch TV with Netflix,Entertainment/Tech,-35.61949,-18.514278
"65 inch TV with Netflix, Amazon Prime Video, Disney+, Fire TV, Hulu",Entertainment/Tech,-67.94414,-8.739372
65 inch TV with standard cable,Entertainment/Tech,-28.021616,16.783964
66 inch HDTV,Entertainment/Tech,-23.388075,-5.191946
"66 inch HDTV with Netflix, standard cable",Entertainment/Tech,-41.752853,-10.438471
68 inch HDTV with Netflix,Entertainment/Tech,-35.18789,-19.126104
68 inch TV with DVD player,Entertainment/Tech,-32.224373,2.9770927
"69 inch HDTV with Disney+, Netflix, standard cable, Apple TV, premium cable",Entertainment/Tech,-62.176556,-3.7452924
6th Sense Multifunction stainless steel electric stove,Kitchen/Dining,57.9004,-11.737959
70 inch HDTV,Entertainment/Tech,-23.74832,-6.1174674
"70 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix, premium cable",Entertainment/Tech,-70.06175,-2.8698664
"70 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-65.733,-16.985325
"70 inch HDTV with Apple TV, Netflix, standard cable",Entertainment/Tech,-56.158913,-0.5859203
"70 inch HDTV with Chromecast, Disney+, Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-70.35207,-2.6802711
"70 inch HDTV with DVD player, Netflix, standard cable, premium cable",Entertainment/Tech,-40.172096,-7.9912057
"70 inch HDTV with Fire TV, Netflix, premium cable",Entertainment/Tech,-39.42126,-6.9076567
"70 inch HDTV with HBO Max, DVD player, Netflix, Amazon Prime Video",Entertainment/Tech,-63.02843,-14.085143
"70 inch HDTV with HBO Max, Netflix, standard cable",Entertainment/Tech,-39.133682,-9.007519
70 inch HDTV with Netflix,Entertainment/Tech,-33.963932,-18.526934
"70 inch HDTV with Netflix, Amazon Prime Video, Apple TV, Disney+",Entertainment/Tech,-66.74671,-7.063477
"70 inch HDTV with Netflix, Apple TV, Amazon Prime Video",Entertainment/Tech,-64.23691,-14.668124
"70 inch HDTV with Netflix, DVD player",Entertainment/Tech,-34.056038,-17.64431
"70 inch HDTV with Netflix, premium cable",Entertainment/Tech,-39.990955,-9.245269
"70 inch HDTV with Netflix, standard cable",Entertainment/Tech,-40.249443,-9.266434
70 inch HDTV with premium cable,Entertainment/Tech,-30.200869,16.94766
"70 inch HDTV with premium cable, standard cable",Entertainment/Tech,-30.079777,16.920532
"70 inch HDTV with standard cable, Apple TV",Entertainment/Tech,-53.73664,4.2157426
"70 inch HDTV with standard cable, Netflix, premium cable",Entertainment/Tech,-40.071888,-8.545143
"70 inch HDTV with standard cable, premium cable",Entertainment/Tech,-30.057774,16.939152
70 inch TV,Entertainment/Tech,-24.328457,-6.423074
"70 inch TV with Disney+, Netflix",Entertainment/Tech,-64.04344,6.957952
72 inch HDTV,Entertainment/Tech,-23.57856,-5.884116
"72 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-65.8814,-17.132046
